;Scopy version,dda5ec6
;Exported on,dinsdag januari 25/01/2022
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
573,-3.427e-05,2.52781,2.48841
574,-3.426e-05,2.54233,2.48841
575,-3.425e-05,2.54233,2.47389
576,-3.424e-05,2.55686,2.47389
577,-3.423e-05,2.51328,2.47389
578,-3.422e-05,2.52781,2.47389
579,-3.421e-05,2.54233,2.50294
580,-3.42e-05,2.52781,2.45936
581,-3.419e-05,2.51328,2.48841
582,-3.418e-05,2.54233,2.48841
583,-3.417e-05,2.52781,2.50294
584,-3.416e-05,2.55686,2.48841
585,-3.415e-05,2.54233,2.48841
586,-3.414e-05,2.55686,2.48841
587,-3.413e-05,2.52781,2.50294
588,-3.412e-05,2.51328,2.48841
589,-3.411e-05,2.54233,2.48841
590,-3.41e-05,2.57138,2.48841
591,-3.409e-05,2.54233,2.45936
592,-3.408e-05,2.57138,2.48841
593,-3.407e-05,2.54233,2.47389
594,-3.406e-05,2.54233,2.48841
595,-3.405e-05,2.52781,2.48841
596,-3.404e-05,2.54233,2.50294
597,-3.403e-05,2.52781,2.47389
598,-3.402e-05,2.52781,2.48841
599,-3.401e-05,2.54233,2.48841
600,-3.4e-05,2.52781,2.48841
601,-3.399e-05,2.55686,2.48841
602,-3.398e-05,2.52781,2.50294
603,-3.397e-05,2.54233,2.48841
604,-3.396e-05,2.52781,2.48841
605,-3.395e-05,2.52781,2.48841
606,-3.394e-05,2.54233,2.45936
607,-3.393e-05,2.54233,2.47389
608,-3.392e-05,2.54233,2.47389
609,-3.391e-05,2.54233,2.47389
610,-3.39e-05,2.54233,2.48841
611,-3.389e-05,2.54233,2.47389
612,-3.388e-05,2.52781,2.48841
613,-3.387e-05,2.51328,2.47389
614,-3.386e-05,2.54233,2.47389
615,-3.385e-05,2.55686,2.47389
616,-3.384e-05,2.54233,2.48841
617,-3.383e-05,2.55686,2.48841
618,-3.382e-05,2.54233,2.50294
619,-3.381e-05,2.54233,2.50294
620,-3.38e-05,2.54233,2.50294
621,-3.379e-05,2.55686,2.47389
622,-3.378e-05,2.57138,2.48841
623,-3.377e-05,2.55686,2.45936
624,-3.376e-05,2.55686,2.47389
625,-3.375e-05,2.52781,2.47389
626,-3.374e-05,2.51328,2.48841
627,-3.373e-05,2.52781,2.47389
628,-3.372e-05,2.52781,2.45936
629,-3.371e-05,2.55686,2.47389
630,-3.37e-05,2.52781,2.47389
631,-3.369e-05,2.52781,2.47389
632,-3.368e-05,2.55686,2.47389
633,-3.367e-05,2.54233,2.45936
634,-3.366e-05,2.54233,2.47389
635,-3.365e-05,2.55686,2.48841
636,-3.364e-05,2.54233,2.47389
637,-3.363e-05,2.55686,2.48841
638,-3.362e-05,2.55686,2.48841
639,-3.361e-05,2.51328,2.48841
640,-3.36e-05,2.55686,2.48841
641,-3.359e-05,2.54233,2.50294
642,-3.358e-05,2.54233,2.47389
643,-3.357e-05,2.54233,2.48841
644,-3.356e-05,2.55686,2.50294
645,-3.355e-05,2.54233,2.45936
646,-3.354e-05,2.55686,2.48841
647,-3.353e-05,2.55686,2.47389
648,-3.352e-05,2.57138,2.50294
649,-3.351e-05,2.55686,2.45936
650,-3.35e-05,2.54233,2.47389
651,-3.349e-05,2.54233,2.50294
652,-3.348e-05,2.54233,2.47389
653,-3.347e-05,2.52781,2.47389
654,-3.346e-05,2.54233,2.48841
655,-3.345e-05,2.55686,2.48841
656,-3.344e-05,2.54233,2.48841
657,-3.343e-05,2.55686,2.48841
658,-3.342e-05,2.54233,2.50294
659,-3.341e-05,2.54233,2.47389
660,-3.34e-05,2.54233,2.48841
661,-3.339e-05,2.52781,2.45936
662,-3.338e-05,2.52781,2.50294
663,-3.337e-05,2.54233,2.50294
664,-3.336e-05,2.54233,2.48841
665,-3.335e-05,2.54233,2.47389
666,-3.334e-05,2.54233,2.48841
667,-3.333e-05,2.54233,2.48841
668,-3.332e-05,2.57138,2.48841
669,-3.331e-05,2.54233,2.50294
670,-3.33e-05,2.54233,2.48841
671,-3.329e-05,2.51328,2.48841
