in s,C2 in V
-2.97884E-01,3.35013E+00
-2.97879E-01,3.34937E+00
-2.97874E-01,3.34952E+00
-2.97869E-01,3.35028E+00
-2.97864E-01,3.35013E+00
-2.97859E-01,3.34982E+00
-2.97854E-01,3.35028E+00
-2.97849E-01,3.35150E+00
-2.97844E-01,3.35120E+00
-2.97839E-01,3.35181E+00
-2.97834E-01,3.35104E+00
-2.97829E-01,3.35028E+00
-2.97824E-01,3.34906E+00
-2.97819E-01,3.34753E+00
-2.97814E-01,3.34769E+00
-2.97809E-01,3.34815E+00
-2.97804E-01,3.34845E+00
-2.97798E-01,3.34830E+00
-2.97793E-01,3.34906E+00
-2.97788E-01,3.34952E+00
-2.97783E-01,3.34982E+00
-2.97778E-01,3.34876E+00
-2.97773E-01,3.34921E+00
-2.97768E-01,3.34921E+00
-2.97763E-01,3.34815E+00
-2.97758E-01,3.34815E+00
-2.97753E-01,3.34769E+00
-2.97748E-01,3.34845E+00
-2.97743E-01,3.34891E+00
-2.97738E-01,3.34860E+00
-2.97733E-01,3.34906E+00
-2.97728E-01,3.34937E+00
-2.97723E-01,3.34860E+00
-2.97718E-01,3.34830E+00
-2.97713E-01,3.34815E+00
-2.97708E-01,3.34723E+00
-2.97703E-01,3.34723E+00
-2.97698E-01,3.34753E+00
-2.97693E-01,3.34753E+00
-2.97688E-01,3.34647E+00
-2.97683E-01,3.34662E+00
-2.97678E-01,3.34815E+00
-2.97672E-01,3.34799E+00
-2.97667E-01,3.34876E+00
-2.97662E-01,3.34723E+00
-2.97657E-01,3.34845E+00
-2.97652E-01,3.34906E+00
-2.97647E-01,3.34891E+00
-2.97642E-01,3.34906E+00
-2.97637E-01,3.34952E+00
-2.97632E-01,3.34891E+00
-2.97627E-01,3.34967E+00
-2.97622E-01,3.34937E+00
-2.97617E-01,3.35028E+00
-2.97612E-01,3.34998E+00
-2.97607E-01,3.34921E+00
-2.97602E-01,3.34967E+00
-2.97597E-01,3.34937E+00
-2.97592E-01,3.34891E+00
-2.97587E-01,3.34815E+00
-2.97582E-01,3.34799E+00
-2.97577E-01,3.34708E+00
-2.97572E-01,3.34692E+00
-2.97567E-01,3.34860E+00
-2.97562E-01,3.34753E+00
-2.97557E-01,3.34830E+00
-2.97552E-01,3.34876E+00
-2.97546E-01,3.34876E+00
-2.97541E-01,3.35013E+00
-2.97536E-01,3.34967E+00
-2.97531E-01,3.35028E+00
-2.97526E-01,3.34937E+00
-2.97521E-01,3.34967E+00
-2.97516E-01,3.34967E+00
-2.97511E-01,3.35028E+00
-2.97506E-01,3.34952E+00
-2.97501E-01,3.34876E+00
-2.97496E-01,3.34830E+00
-2.97491E-01,3.34891E+00
-2.97486E-01,3.34876E+00
-2.97481E-01,3.34998E+00
-2.97476E-01,3.34906E+00
-2.97471E-01,3.34982E+00
-2.97466E-01,3.35028E+00
-2.97461E-01,3.34830E+00
-2.97456E-01,3.34876E+00
