in s,C1 in V
-1.0035E-01,-3.931E+00
-1.0035E-01,-2.954E+00
-1.0033E-01,-3.735E+00
-1.0033E-01,-2.759E+00
-1.0031E-01,-3.540E+00
-1.0031E-01,-2.563E+00
-1.0029E-01,-3.345E+00
-1.0029E-01,-2.368E+00
-1.0027E-01,-3.149E+00
-1.0027E-01,-2.222E+00
-1.0025E-01,-2.954E+00
-1.0025E-01,-2.026E+00
-1.0022E-01,-2.759E+00
-1.0022E-01,-1.831E+00
-1.0020E-01,-2.563E+00
-1.0020E-01,-1.685E+00
-1.0018E-01,-2.417E+00
-1.0018E-01,-1.489E+00
-1.0016E-01,-2.222E+00
-1.0016E-01,-1.245E+00
-1.0014E-01,-2.026E+00
-1.0014E-01,-1.099E+00
-1.0012E-01,-1.831E+00
-1.0012E-01,-9.521E-01
-1.0009E-01,-1.685E+00
-1.0009E-01,-7.568E-01
-1.0007E-01,-1.538E+00
-1.0007E-01,-5.615E-01
-1.0005E-01,-1.343E+00
-1.0005E-01,-4.150E-01
-1.0003E-01,-1.196E+00
-1.0003E-01,-2.686E-01
-1.0001E-01,-1.001E+00
-1.0001E-01,-1.221E-01
-9.9986E-02,-9.033E-01
-9.9986E-02,-2.441E-02
-9.9965E-02,-7.080E-01
-9.9965E-02,1.709E-01
-9.9943E-02,-6.104E-01
-9.9943E-02,3.174E-01
-9.9922E-02,-5.127E-01
-9.9922E-02,4.639E-01
-9.9900E-02,-3.174E-01
-9.9900E-02,5.615E-01
-9.9878E-02,-1.709E-01
-9.9878E-02,6.592E-01
-9.9857E-02,-7.324E-02
-9.9857E-02,8.057E-01
-9.9835E-02,2.441E-02
-9.9835E-02,9.033E-01
-9.9814E-02,1.709E-01
-9.9814E-02,1.001E+00
-9.9792E-02,2.686E-01
-9.9792E-02,1.147E+00
-9.9770E-02,3.662E-01
-9.9770E-02,1.196E+00
-9.9749E-02,4.150E-01
-9.9749E-02,1.343E+00
-9.9727E-02,5.615E-01
-9.9727E-02,1.392E+00
-9.9706E-02,6.104E-01
-9.9706E-02,1.538E+00
-9.9684E-02,7.568E-01
-9.9684E-02,1.587E+00
-9.9662E-02,9.033E-01
-9.9662E-02,1.685E+00
-9.9641E-02,9.521E-01
-9.9641E-02,1.782E+00
-9.9619E-02,1.001E+00
-9.9619E-02,1.880E+00
-9.9598E-02,1.147E+00
-9.9598E-02,1.929E+00
-9.9576E-02,1.196E+00
-9.9576E-02,1.978E+00
-9.9554E-02,1.294E+00
-9.9554E-02,2.075E+00
-9.9533E-02,1.440E+00
-9.9533E-02,2.124E+00
-9.9511E-02,1.489E+00
-9.9511E-02,2.222E+00
-9.9490E-02,1.538E+00
-9.9490E-02,2.271E+00
-9.9468E-02,1.636E+00
-9.9468E-02,2.417E+00
-9.9446E-02,1.685E+00
-9.9446E-02,2.466E+00
-9.9425E-02,1.782E+00
-9.9425E-02,2.515E+00
-9.9403E-02,1.831E+00
-9.9403E-02,2.612E+00
-9.9382E-02,1.880E+00
-9.9382E-02,2.661E+00
-9.9360E-02,2.026E+00
-9.9360E-02,2.759E+00
-9.9338E-02,2.075E+00
-9.9338E-02,2.808E+00
-9.9317E-02,2.173E+00
-9.9317E-02,2.954E+00
-9.9295E-02,2.222E+00
-9.9295E-02,3.052E+00
-9.9274E-02,2.319E+00
-9.9274E-02,3.149E+00
-9.9252E-02,2.368E+00
-9.9252E-02,3.198E+00
-9.9230E-02,2.515E+00
-9.9230E-02,3.296E+00
-9.9209E-02,2.612E+00
-9.9209E-02,3.345E+00
-9.9187E-02,2.710E+00
-9.9187E-02,3.491E+00
-9.9166E-02,2.808E+00
-9.9166E-02,3.589E+00
-9.9144E-02,2.856E+00
-9.9144E-02,3.687E+00
-9.9122E-02,2.954E+00
-9.9122E-02,3.735E+00
-9.9101E-02,3.101E+00
